query_id,query_index,candidate_id,candidate_position,image_id,semantic_id,split,pattern_id,ambiguity_level,template_id,candidate_role,is_positive,relevance_label,changed_attribute,omitted_attribute,old_value,new_value,hamming_distance,negative_type,is_global_positive_text,is_negative_global_overlap,matching_positive_image_ids,matching_positive_semantic_ids,matching_positive_count,original_palette_id,original_motif,original_orientation,original_composition,original_symmetry,candidate_palette_id,candidate_motif,candidate_orientation,candidate_composition,candidate_symmetry,candidate_text,candidate_sha256
HNQ-V2_001,0,HNC-V2_001-P01,1,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,motif,palette_id,bandas geométricas,rombos,1,counterfactual_only,false,false,,,0,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,rojo_negro_crema,rombos,horizontal,bandas,repetitiva,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con rombos como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva.",18884a42296a7da82c390b095e000d9099e481c8695a7f37a8e0b8f1278cb603
HNQ-V2_001,0,HNC-V2_001-P02,2,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,bajo,TPL_01,positive,true,1,,palette_id,,,0,not_applicable,true,false,V2_001,SEM-726372BFFF43534D,1,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva.",84e939eafb084dff790f0fdfd595d80103765300bc417b615c202737f4f6129c
HNQ-V2_001,0,HNC-V2_001-P03,3,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,orientation,palette_id,horizontal,vertical,1,global_overlap,true,true,V2_006,SEM-4699702E8A447735,1,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientación vertical; composición en bandas; simetría repetitiva.",37c6aa35b8bf15ef1b40b8c44f46fbadd2a5395736edae7ce78c85e8abf72787
HNQ-V2_001,0,HNC-V2_001-P04,4,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,composition,palette_id,bandas,central,1,counterfactual_only,false,false,,,0,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,rojo_negro_crema,bandas geométricas,horizontal,central,repetitiva,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientación horizontal; composición central; simetría repetitiva.",5b423046487a71176f9b954501348bca8b75e2a6c9b34b63ef3ea1a8125d7d61
HNQ-V2_001,0,HNC-V2_001-P05,5,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,symmetry,palette_id,repetitiva,bilateral,1,counterfactual_only,false,false,,,0,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,rojo_negro_crema,bandas geométricas,horizontal,bandas,bilateral,"Patrón geométrico sintético con paleta rojo oscuro, negro y crema; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría bilateral.",78f67ee93fdc17e8d043266f29cb991fd4a98ef1d45a578e0594de6ebe160d8d
HNQ-V2_002,1,HNC-V2_002-P01,1,V2_002,SEM-5B84448A62787787,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,orientation,motif,horizontal,vertical,1,global_overlap,true,true,V2_007,SEM-657EAE79EA891854,1,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,"Patrón geométrico sintético con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientación vertical; composición en bandas; simetría repetitiva.",7f8c12c6b6b9f23631236e8d578e793464df7022624cd580e5a3ee4793cfddb9
HNQ-V2_002,1,HNC-V2_002-P02,2,V2_002,SEM-5B84448A62787787,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,composition,motif,bandas,central,1,counterfactual_only,false,false,,,0,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,azul_crema_marron,bandas geométricas,horizontal,central,repetitiva,"Patrón geométrico sintético con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientación horizontal; composición central; simetría repetitiva.",175a39cdfd6856e9edf96594476849d388633c2a89a965a5d5cfc60554e3cfb2
HNQ-V2_002,1,HNC-V2_002-P03,3,V2_002,SEM-5B84448A62787787,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,symmetry,motif,repetitiva,bilateral,1,counterfactual_only,false,false,,,0,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,azul_crema_marron,bandas geométricas,horizontal,bandas,bilateral,"Patrón geométrico sintético con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría bilateral.",e8d155613f4428472513c332aa631db4d1388f45e70ffca2896dea77c5575863
HNQ-V2_002,1,HNC-V2_002-P04,4,V2_002,SEM-5B84448A62787787,id,bands_horizontal,bajo,TPL_01,positive,true,1,,motif,,,0,not_applicable,true,false,V2_002,SEM-5B84448A62787787,1,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,"Patrón geométrico sintético con paleta azul profundo, crema y marrón; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva.",5b0e7814b78265de3ce0a1cadc203e184565520ce0344033ed23b1e852e9ec43
HNQ-V2_002,1,HNC-V2_002-P05,5,V2_002,SEM-5B84448A62787787,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,palette_id,motif,azul_crema_marron,ocre_marron_negro,1,global_overlap,true,true,V2_003,SEM-7418F4CCBDB8F621,1,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Patrón geométrico sintético con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva.",58173b82a0b54909da8da67aeaf2bddb4e835cf84deb6c4fffec81e9e2b51c54
HNQ-V2_003,2,HNC-V2_003-P01,1,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,bajo,TPL_01,positive,true,1,,orientation,,,0,not_applicable,true,false,V2_003,SEM-7418F4CCBDB8F621,1,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,"Patrón geométrico sintético con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría repetitiva.",58173b82a0b54909da8da67aeaf2bddb4e835cf84deb6c4fffec81e9e2b51c54
HNQ-V2_003,2,HNC-V2_003-P02,2,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,composition,orientation,bandas,central,1,counterfactual_only,false,false,,,0,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,ocre_marron_negro,bandas geométricas,horizontal,central,repetitiva,"Patrón geométrico sintético con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientación horizontal; composición central; simetría repetitiva.",e3c92080af968866d7e6ead4f5762f985c7d493845de741247fa8d818cbd7143
HNQ-V2_003,2,HNC-V2_003-P03,3,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,bajo,TPL_01,hard_negative,false,0,symmetry,orientation,repetitiva,bilateral,1,counterfactual_only,false,false,,,0,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,ocre_marron_negro,bandas geométricas,horizontal,bandas,bilateral,"Patrón geométrico sintético con paleta ocre, marrón y negro; con bandas geométricas como motivo principal; orientación horizontal; composición en bandas; simetría bilateral.",56d119ef76270429f79886559844187b0eb8d7b3986a7d26065aa93754ccad25
