colorless_caption_id,structure_id,template_id,is_canonical,pattern_id,motif,orientation,composition,symmetry,caption_text,caption_sha256,relevant_image_ids,relevant_semantic_ids,relevant_count
SCAP-A3FE31524DCA0243-TPL_01,STR-A3FE31524DCA0243,TPL_01,true,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,Patr?n geom?trico sint?tico con bandas geométricas como motivo principal; orientaci?n horizontal; composici?n en bandas; simetr?a repetitiva.,5df4e4f65176c16f1c77fa39b9a328e256d5f82f8911385ec6da75e9ce789d2b,V2_001|V2_002|V2_003|V2_004|V2_005|V2_031|V2_032,SEM-5385CECF3CA2ED7C|SEM-5B84448A62787787|SEM-726372BFFF43534D|SEM-7418F4CCBDB8F621|SEM-7CE10D3F8F559237|SEM-CA5D6EBFCD7B84E3|SEM-EBDDE1D48F194248,7
SCAP-A3FE31524DCA0243-TPL_02,STR-A3FE31524DCA0243,TPL_02,false,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,"Imagen abstracta formada por bandas geométricas, con orientación horizontal, composición en bandas y simetría repetitiva.",715539009ad80a747bc2d97afa186b1be8b99b1462125a1cf323898dbc2257f4,V2_001|V2_002|V2_003|V2_004|V2_005|V2_031|V2_032,SEM-5385CECF3CA2ED7C|SEM-5B84448A62787787|SEM-726372BFFF43534D|SEM-7418F4CCBDB8F621|SEM-7CE10D3F8F559237|SEM-CA5D6EBFCD7B84E3|SEM-EBDDE1D48F194248,7
SCAP-A3FE31524DCA0243-TPL_03,STR-A3FE31524DCA0243,TPL_03,false,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación horizontal y simetría repetitiva.",26f4998c3e987cc28e4410a180f559e17c4e78786db4d7476eae7ff4f87bc4b8,V2_001|V2_002|V2_003|V2_004|V2_005|V2_031|V2_032,SEM-5385CECF3CA2ED7C|SEM-5B84448A62787787|SEM-726372BFFF43534D|SEM-7418F4CCBDB8F621|SEM-7CE10D3F8F559237|SEM-CA5D6EBFCD7B84E3|SEM-EBDDE1D48F194248,7
SCAP-A3FE31524DCA0243-TPL_04,STR-A3FE31524DCA0243,TPL_04,false,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es horizontal, la composición es en bandas y la simetría es repetitiva.",8ec99bf8895d263e5e881cfa7098cf6dc00a54796680ca5bd7ec250a1617280d,V2_001|V2_002|V2_003|V2_004|V2_005|V2_031|V2_032,SEM-5385CECF3CA2ED7C|SEM-5B84448A62787787|SEM-726372BFFF43534D|SEM-7418F4CCBDB8F621|SEM-7CE10D3F8F559237|SEM-CA5D6EBFCD7B84E3|SEM-EBDDE1D48F194248,7
SCAP-A3FE31524DCA0243-TPL_05,STR-A3FE31524DCA0243,TPL_05,false,bands_horizontal,bandas geométricas,horizontal,bandas,repetitiva,"Textura geom?trica sint?tica con bandas geométricas, orientaci?n horizontal, composici?n en bandas y simetr?a repetitiva.",02bbee7ebb03c7280d827e57a7ddb7c559a285cb4b38b99e93228fa9db432787,V2_001|V2_002|V2_003|V2_004|V2_005|V2_031|V2_032,SEM-5385CECF3CA2ED7C|SEM-5B84448A62787787|SEM-726372BFFF43534D|SEM-7418F4CCBDB8F621|SEM-7CE10D3F8F559237|SEM-CA5D6EBFCD7B84E3|SEM-EBDDE1D48F194248,7
SCAP-390DD4719A974C7E-TPL_01,STR-390DD4719A974C7E,TPL_01,true,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,Patr?n geom?trico sint?tico con bandas geométricas como motivo principal; orientaci?n vertical; composici?n en bandas; simetr?a repetitiva.,2d3da52eb390dfb983372fd1ac967d5bef18607e898fb6949846b0faf7bf87e7,V2_006|V2_007|V2_008|V2_009|V2_010|V2_033|V2_034,SEM-0EFA93DD8D5CE9AD|SEM-4699702E8A447735|SEM-5B7B82044BDAE8EB|SEM-657EAE79EA891854|SEM-7E4D8819AF0D376B|SEM-E53EDC29A9BA52BC|SEM-F49183E2AB7334C9,7
SCAP-390DD4719A974C7E-TPL_02,STR-390DD4719A974C7E,TPL_02,false,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,"Imagen abstracta formada por bandas geométricas, con orientación vertical, composición en bandas y simetría repetitiva.",2403990ee92539cc023d9fbee2c331f3522662536c7aa6d0037e7e7ed29eb538,V2_006|V2_007|V2_008|V2_009|V2_010|V2_033|V2_034,SEM-0EFA93DD8D5CE9AD|SEM-4699702E8A447735|SEM-5B7B82044BDAE8EB|SEM-657EAE79EA891854|SEM-7E4D8819AF0D376B|SEM-E53EDC29A9BA52BC|SEM-F49183E2AB7334C9,7
SCAP-390DD4719A974C7E-TPL_03,STR-390DD4719A974C7E,TPL_03,false,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,"Diseño de composición en bandas que muestra bandas geométricas, orientación vertical y simetría repetitiva.",fd5a33739487e36684f982fe3a95a411f3ed19ac9ed0cb2250599546de02833e,V2_006|V2_007|V2_008|V2_009|V2_010|V2_033|V2_034,SEM-0EFA93DD8D5CE9AD|SEM-4699702E8A447735|SEM-5B7B82044BDAE8EB|SEM-657EAE79EA891854|SEM-7E4D8819AF0D376B|SEM-E53EDC29A9BA52BC|SEM-F49183E2AB7334C9,7
SCAP-390DD4719A974C7E-TPL_04,STR-390DD4719A974C7E,TPL_04,false,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,"Representación sintética de bandas geométricas; la orientación es vertical, la composición es en bandas y la simetría es repetitiva.",94a741ccac22af578da6524c222665f8a237d36a22384fdb19adf2bd20b0d625,V2_006|V2_007|V2_008|V2_009|V2_010|V2_033|V2_034,SEM-0EFA93DD8D5CE9AD|SEM-4699702E8A447735|SEM-5B7B82044BDAE8EB|SEM-657EAE79EA891854|SEM-7E4D8819AF0D376B|SEM-E53EDC29A9BA52BC|SEM-F49183E2AB7334C9,7
SCAP-390DD4719A974C7E-TPL_05,STR-390DD4719A974C7E,TPL_05,false,bands_vertical,bandas geométricas,vertical,bandas,repetitiva,"Textura geom?trica sint?tica con bandas geométricas, orientaci?n vertical, composici?n en bandas y simetr?a repetitiva.",41e345f0ff3f2ff39a481756592df2fec55cccf9b0ced2c2a2d9e581d40567c8,V2_006|V2_007|V2_008|V2_009|V2_010|V2_033|V2_034,SEM-0EFA93DD8D5CE9AD|SEM-4699702E8A447735|SEM-5B7B82044BDAE8EB|SEM-657EAE79EA891854|SEM-7E4D8819AF0D376B|SEM-E53EDC29A9BA52BC|SEM-F49183E2AB7334C9,7
SCAP-83B17E3514D80A83-TPL_01,STR-83B17E3514D80A83,TPL_01,true,diamonds_central,rombos,diagonal,central,bilateral,Patr?n geom?trico sint?tico con rombos como motivo principal; orientaci?n diagonal; composici?n central; simetr?a bilateral.,ba144ff16744fbb2118cb51fd0e57faed9eb138c9dfa9c9dd5d5b26ab05d4d06,V2_011|V2_012|V2_013|V2_014|V2_015|V2_035|V2_036,SEM-48FFBCDFBB1178FE|SEM-6C847486A44390D1|SEM-A391BDC002181DD1|SEM-B0502F5A4E58AF67|SEM-E6BF74678BDAC828|SEM-F5F0E5F56F3B9CDD|SEM-FFE7DFAAFAF2AC61,7
SCAP-83B17E3514D80A83-TPL_02,STR-83B17E3514D80A83,TPL_02,false,diamonds_central,rombos,diagonal,central,bilateral,"Imagen abstracta formada por rombos, con orientación diagonal, composición central y simetría bilateral.",a74e0ca871bb00212280ec2e81efc2082c5001adbdbed345f824b5c1143ecbf9,V2_011|V2_012|V2_013|V2_014|V2_015|V2_035|V2_036,SEM-48FFBCDFBB1178FE|SEM-6C847486A44390D1|SEM-A391BDC002181DD1|SEM-B0502F5A4E58AF67|SEM-E6BF74678BDAC828|SEM-F5F0E5F56F3B9CDD|SEM-FFE7DFAAFAF2AC61,7
SCAP-83B17E3514D80A83-TPL_03,STR-83B17E3514D80A83,TPL_03,false,diamonds_central,rombos,diagonal,central,bilateral,"Diseño de composición central que muestra rombos, orientación diagonal y simetría bilateral.",a73410cf451f2db76652c13e0de262f1059aff505fdfba982d6da359e43a7744,V2_011|V2_012|V2_013|V2_014|V2_015|V2_035|V2_036,SEM-48FFBCDFBB1178FE|SEM-6C847486A44390D1|SEM-A391BDC002181DD1|SEM-B0502F5A4E58AF67|SEM-E6BF74678BDAC828|SEM-F5F0E5F56F3B9CDD|SEM-FFE7DFAAFAF2AC61,7
SCAP-83B17E3514D80A83-TPL_04,STR-83B17E3514D80A83,TPL_04,false,diamonds_central,rombos,diagonal,central,bilateral,"Representación sintética de rombos; la orientación es diagonal, la composición es central y la simetría es bilateral.",5e204ce0315d407e2f2a1764eb13cff491d8b71ccda55e1b6f779bf8d1333828,V2_011|V2_012|V2_013|V2_014|V2_015|V2_035|V2_036,SEM-48FFBCDFBB1178FE|SEM-6C847486A44390D1|SEM-A391BDC002181DD1|SEM-B0502F5A4E58AF67|SEM-E6BF74678BDAC828|SEM-F5F0E5F56F3B9CDD|SEM-FFE7DFAAFAF2AC61,7
SCAP-83B17E3514D80A83-TPL_05,STR-83B17E3514D80A83,TPL_05,false,diamonds_central,rombos,diagonal,central,bilateral,"Textura geom?trica sint?tica con rombos, orientaci?n diagonal, composici?n central y simetr?a bilateral.",d70ba936ff89b1186ae46f4cb7e1e284127717a8494bbcc135e31405d1f77c90,V2_011|V2_012|V2_013|V2_014|V2_015|V2_035|V2_036,SEM-48FFBCDFBB1178FE|SEM-6C847486A44390D1|SEM-A391BDC002181DD1|SEM-B0502F5A4E58AF67|SEM-E6BF74678BDAC828|SEM-F5F0E5F56F3B9CDD|SEM-FFE7DFAAFAF2AC61,7
