image_id,semantic_id,semantic_signature,pattern_id,palette_id,motif,orientation,composition,symmetry,ambiguity_level,split,seed,image_width,image_height,image_path,generator_version,source,usage_restriction
V2_001,SEM-726372BFFF43534D,palette_id=rojo_negro_crema|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,226,512,512,data/v2/images/V2_001.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_002,SEM-5B84448A62787787,palette_id=azul_crema_marron|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,227,512,512,data/v2/images/V2_002.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_003,SEM-7418F4CCBDB8F621,palette_id=ocre_marron_negro|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,228,512,512,data/v2/images/V2_003.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_004,SEM-7CE10D3F8F559237,palette_id=blanco_negro_gris|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,229,512,512,data/v2/images/V2_004.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_005,SEM-CA5D6EBFCD7B84E3,palette_id=multicolor_tierra|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,bajo,id,230,512,512,data/v2/images/V2_005.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_006,SEM-4699702E8A447735,palette_id=rojo_negro_crema|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,bajo,id,231,512,512,data/v2/images/V2_006.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_007,SEM-657EAE79EA891854,palette_id=azul_crema_marron|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,bajo,id,232,512,512,data/v2/images/V2_007.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_008,SEM-F49183E2AB7334C9,palette_id=ocre_marron_negro|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,bajo,id,233,512,512,data/v2/images/V2_008.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_009,SEM-0EFA93DD8D5CE9AD,palette_id=blanco_negro_gris|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,bajo,id,234,512,512,data/v2/images/V2_009.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
V2_010,SEM-7E4D8819AF0D376B,palette_id=multicolor_tierra|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,bajo,id,235,512,512,data/v2/images/V2_010.png,2.0,synthetic_rule_based,Solo evaluación académica controlada; no usar para identificación cultural ni validación patrimonial.
