semantic_group,image_id,image_path,paleta,composicion,motivo,simetria,nivel_ambiguedad,group_size,same_exact_image,sha256
SG001,T001,data/images/T001.png,rojo_negro_crema,horizontal,bandas geometricas,repetitiva,bajo,2,True,6fadc9aa8e53dafe638d0f683824bde3e9d3e22ebdb02111adefacc8bd6f040f
SG001,T031,data/images/T031.png,rojo_negro_crema,horizontal,bandas geometricas,repetitiva,bajo,2,True,6fadc9aa8e53dafe638d0f683824bde3e9d3e22ebdb02111adefacc8bd6f040f
SG002,T002,data/images/T002.png,azul_crema_marron,vertical,bandas geometricas,repetitiva,bajo,2,True,180957793aa3c4624b1536ef5840aa4c3d71e8fa28d8efb6da63f6803f6b167e
SG002,T032,data/images/T032.png,azul_crema_marron,vertical,bandas geometricas,repetitiva,bajo,2,True,180957793aa3c4624b1536ef5840aa4c3d71e8fa28d8efb6da63f6803f6b167e
SG003,T003,data/images/T003.png,ocre_marron_negro,central,rombos,bilateral,medio,2,True,107c8034f2112bba26f8a976ac4fb82dd01133a94342eef833cdd28831fa620a
SG003,T033,data/images/T033.png,ocre_marron_negro,central,rombos,bilateral,medio,2,True,107c8034f2112bba26f8a976ac4fb82dd01133a94342eef833cdd28831fa620a
SG004,T004,data/images/T004.png,blanco_negro_gris,modular,grecas escalonadas,repetitiva,medio,2,True,a8bd8fda519a3511b84b022793f3f343da1b407d209cd117e6c7e96619bfbfa8
SG004,T034,data/images/T034.png,blanco_negro_gris,modular,grecas escalonadas,repetitiva,medio,2,True,a8bd8fda519a3511b84b022793f3f343da1b407d209cd117e6c7e96619bfbfa8
SG005,T005,data/images/T005.png,multicolor_tierra,reticular,cuadricula geometrica,repetitiva,bajo,2,True,ef7c24b21d62df6ecc194a667eb40a82eaeca018b30bc69194033384924973d0
SG005,T035,data/images/T035.png,multicolor_tierra,reticular,cuadricula geometrica,repetitiva,bajo,2,True,ef7c24b21d62df6ecc194a667eb40a82eaeca018b30bc69194033384924973d0
SG006,T006,data/images/T006.png,rojo_negro_crema,mixta,motivos geometricos combinados,asimetrica,alto,2,False,36f7cea2907ea7c509ae5e5f4904502c802521cb9871a97702a1880fa9aaa352
SG006,T036,data/images/T036.png,rojo_negro_crema,mixta,motivos geometricos combinados,asimetrica,alto,2,False,9dc62d51e428b9de792193229eef403b6dbaa2b35ef071c00c7b074efb4e1d36
SG007,T007,data/images/T007.png,azul_crema_marron,horizontal,bandas geometricas,repetitiva,bajo,2,True,63a51b0cb09ff0de147d0e082c75779450a1ba8eae21eda57097d480cab9268d
SG007,T037,data/images/T037.png,azul_crema_marron,horizontal,bandas geometricas,repetitiva,bajo,2,True,63a51b0cb09ff0de147d0e082c75779450a1ba8eae21eda57097d480cab9268d
SG008,T008,data/images/T008.png,ocre_marron_negro,vertical,bandas geometricas,repetitiva,bajo,2,True,482d9c1e9223a9a5a0b23ce336c328ed6dbd24c93dc6dd5e7895198da8c56124
SG008,T038,data/images/T038.png,ocre_marron_negro,vertical,bandas geometricas,repetitiva,bajo,2,True,482d9c1e9223a9a5a0b23ce336c328ed6dbd24c93dc6dd5e7895198da8c56124
SG009,T009,data/images/T009.png,blanco_negro_gris,central,rombos,bilateral,medio,2,True,c2d9839635b9c46a802644e4edbf4909f96448d75e27d84e760260dd8650c259
SG009,T039,data/images/T039.png,blanco_negro_gris,central,rombos,bilateral,medio,2,True,c2d9839635b9c46a802644e4edbf4909f96448d75e27d84e760260dd8650c259
SG010,T010,data/images/T010.png,multicolor_tierra,modular,grecas escalonadas,repetitiva,medio,2,True,e69738f55cdf665d4fb3a33bbe2d6142d2918e6129ad094f18161268bd8be7e6
SG010,T040,data/images/T040.png,multicolor_tierra,modular,grecas escalonadas,repetitiva,medio,2,True,e69738f55cdf665d4fb3a33bbe2d6142d2918e6129ad094f18161268bd8be7e6
