image_row_index,image_id,semantic_id,semantic_signature,split,pattern_id,palette_id,motif,orientation,composition,symmetry,ambiguity_level,image_path,file_sha256,pixel_sha256
0,V2_001,SEM-726372BFFF43534D,palette_id=rojo_negro_crema|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,data/v2/images/V2_001.png,3b3ffe58f099bf763968b315904a2825ea24a47cf4456a5b653bd1666c0f3705,5623c29f3176fe31c4b6f6c58f3bcd04790c87723c9c96906d66283eac0f733d
1,V2_002,SEM-5B84448A62787787,palette_id=azul_crema_marron|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,data/v2/images/V2_002.png,8119c875e2857ac519e30a935173af121a9b0974cfd9679af5618543eb2df101,dc6fc2d315409c69df67debc043ceb13dfdece8fddf410778691c968ddb66007
2,V2_003,SEM-7418F4CCBDB8F621,palette_id=ocre_marron_negro|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,data/v2/images/V2_003.png,5ba4b9733a9bd62571c0d0a7fd69b5386c077c93374b8779c7158fa59d6a9597,fbd72e366c6303c70a912d24f38c9df64adca752ab1ae6d4590edca3fd4d8eb6
3,V2_004,SEM-7CE10D3F8F559237,palette_id=blanco_negro_gris|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,id,bands_horizontal,blanco_negro_gris,bandas geométricas,horizontal,bandas,repetitiva,bajo,data/v2/images/V2_004.png,8aaeea8164b536bf394c688b2ffc60fe01834c13dfb2fb610ab31d2b9822cce6,fb8305488d638a7189321d7ec84093e8ab18c09d471357b95b242f1195e42bb9
4,V2_005,SEM-CA5D6EBFCD7B84E3,palette_id=multicolor_tierra|motif=bandas geométricas|orientation=horizontal|composition=bandas|symmetry=repetitiva,id,bands_horizontal,multicolor_tierra,bandas geométricas,horizontal,bandas,repetitiva,bajo,data/v2/images/V2_005.png,8dbe81678addd80606cf55009cc19790a7a6dbc9ce06a73b8ba5c01440a5bf32,9ab7e004d6df933bdc2a4203591f6829f249c005b78216d704d582a0746b32d8
5,V2_006,SEM-4699702E8A447735,palette_id=rojo_negro_crema|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,id,bands_vertical,rojo_negro_crema,bandas geométricas,vertical,bandas,repetitiva,bajo,data/v2/images/V2_006.png,c0fd29c0f7971ebcd6101a5101c54944ff882e95cbd61c415231e5632c8b99f7,8220288204d671f35c2c47eaba2e417f339d9633f9e3398c5d3a02e909e90c3c
6,V2_007,SEM-657EAE79EA891854,palette_id=azul_crema_marron|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,id,bands_vertical,azul_crema_marron,bandas geométricas,vertical,bandas,repetitiva,bajo,data/v2/images/V2_007.png,fcc6032076b27180c230ac220bab9c894bae09d67951b74d8ca243266153b357,cbca7993a0570a80ca1389b5e0d80a34eeaf3491266a93cfa91d69945e1ddcfb
7,V2_008,SEM-F49183E2AB7334C9,palette_id=ocre_marron_negro|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,id,bands_vertical,ocre_marron_negro,bandas geométricas,vertical,bandas,repetitiva,bajo,data/v2/images/V2_008.png,6abd71815968f42458cdfbe80efa550a4ae4a79616c5422b962b034635a4d718,66cb6dd823b0dcadda454dc996a79ae328a56ce0faa5dc426618746f55297428
8,V2_009,SEM-0EFA93DD8D5CE9AD,palette_id=blanco_negro_gris|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,id,bands_vertical,blanco_negro_gris,bandas geométricas,vertical,bandas,repetitiva,bajo,data/v2/images/V2_009.png,dbf5ca0562825c117f682327c37fcfd1e9efbb20818e12fc4767c4e133263c8f,b0fb87321874ce5ec1071eb1ac922346a5419ba00e9b9745574db313d157db61
9,V2_010,SEM-7E4D8819AF0D376B,palette_id=multicolor_tierra|motif=bandas geométricas|orientation=vertical|composition=bandas|symmetry=repetitiva,id,bands_vertical,multicolor_tierra,bandas geométricas,vertical,bandas,repetitiva,bajo,data/v2/images/V2_010.png,fc5f92d23376292ac50d1c241d867a5c400ab572a68cc4dd2f98d50c07c38202,80de60d59fd0a98f90c9cf9435086917e9011721ad20e6febac8d1f7cd122de2
