usage_row_index,source_id,source_row_index,record_id,text_row_index,text_id,text_sha256
0,positivos,0,CAP-V2_001-TPL_01,0,TXT-0001,84e939eafb084dff790f0fdfd595d80103765300bc417b615c202737f4f6129c
1,positivos,1,CAP-V2_001-TPL_02,1,TXT-0002,427e2b76f2970447a3d4dc73b6daa77b086849bee2cfe23117d887eea41ff31f
2,positivos,2,CAP-V2_001-TPL_03,2,TXT-0003,d3c2186a22d5e327cb9dbd542679b27e582b97c984175a675a6c260be1cbe9b5
3,positivos,3,CAP-V2_001-TPL_04,3,TXT-0004,e9295bcc3d693f9d516878410aab92abc79b7790c2ea9630184cd024d8b22116
4,positivos,4,CAP-V2_001-TPL_05,4,TXT-0005,a504482ae05d01e341869cf68db9520aaf101ff40c3b8504d71927903afaf2a8
5,positivos,5,CAP-V2_002-TPL_01,5,TXT-0006,5b0e7814b78265de3ce0a1cadc203e184565520ce0344033ed23b1e852e9ec43
6,positivos,6,CAP-V2_002-TPL_02,6,TXT-0007,4f1d08da34a4df2ca4388867039e313729a0ff853a35ab9332ce14514d44757c
7,positivos,7,CAP-V2_002-TPL_03,7,TXT-0008,31b45e7833d3cb1084f2a793c7f6d688c941295a5f734683b64326753c05a06c
8,positivos,8,CAP-V2_002-TPL_04,8,TXT-0009,917581bfde27a3536b3a09b370f476a286977b80625d7b1c72385e9c96aadc25
9,positivos,9,CAP-V2_002-TPL_05,9,TXT-0010,575930601a498b1be1144fc3d1aa14baaa8fe022e18d3957382815894f1eb9ab
10,positivos,10,CAP-V2_003-TPL_01,10,TXT-0011,58173b82a0b54909da8da67aeaf2bddb4e835cf84deb6c4fffec81e9e2b51c54
11,positivos,11,CAP-V2_003-TPL_02,11,TXT-0012,8b0997dcdc2261646a6756e5fbf10b257750ccaf0e49c44b8ffe4bdf55272469
12,positivos,12,CAP-V2_003-TPL_03,12,TXT-0013,88b4c87a50701f0f1821d40f5264050cff54e514eaf95d932146660566689b9d
13,positivos,13,CAP-V2_003-TPL_04,13,TXT-0014,2829446f0eafc5746f3a2509026813e19b4260a9c788ec9df6ba3ad59c36cb9a
14,positivos,14,CAP-V2_003-TPL_05,14,TXT-0015,711f82f194807f585e7cc30afc4ecd3139f4b7d07f86e0601c49f8e1bc62fa16
15,positivos,15,CAP-V2_004-TPL_01,15,TXT-0016,edb688349ab3fb3842bd0b03e1317b202fa6f7b67f5590c5802ee1e069685283
16,positivos,16,CAP-V2_004-TPL_02,16,TXT-0017,d6fca232bdf7bf93a5b7090d73f0416f30b4d45d025e2b48623493903b74682c
17,positivos,17,CAP-V2_004-TPL_03,17,TXT-0018,a34006ccde0ee1e70bfcee95a47f3d02257892049c2ff40616914da979b0bfa1
18,positivos,18,CAP-V2_004-TPL_04,18,TXT-0019,c24f235542d9e6dbfab6621de3304cda6fc1611798c394947b661db8055d13db
19,positivos,19,CAP-V2_004-TPL_05,19,TXT-0020,2dee1f211ff5034ba897c7c85a762339dd76b2ce50a155455d7dba11cc3844ac
20,positivos,20,CAP-V2_005-TPL_01,20,TXT-0021,adb2799492b9914413ea999edec58a5f53b8494a59aeba0ba4cc201449833575
21,positivos,21,CAP-V2_005-TPL_02,21,TXT-0022,2ce22400ab855141e748d90db6ec129d7f9b2b28022f365ad93957b546a1ca37
22,positivos,22,CAP-V2_005-TPL_03,22,TXT-0023,3a981b3c89d7cc11af6b701ec6211928ed447a15367c63ddbb4612fee98e0063
23,positivos,23,CAP-V2_005-TPL_04,23,TXT-0024,383cdc1ff8ae56413708c87349e0ec6229670e42baeaca1e84e08cf0b147a8e3
24,positivos,24,CAP-V2_005-TPL_05,24,TXT-0025,722bf74cd8410923951462fb0b554e2bf4d57538b86e9b2a3a61085d38247035
25,positivos,25,CAP-V2_006-TPL_01,25,TXT-0026,37c6aa35b8bf15ef1b40b8c44f46fbadd2a5395736edae7ce78c85e8abf72787
26,positivos,26,CAP-V2_006-TPL_02,26,TXT-0027,e212022e3f92278302a1457e3016b9f3e454904333d4018a5f48c7fcc6ba5fe1
27,positivos,27,CAP-V2_006-TPL_03,27,TXT-0028,55e05c18fd1c9e560d014d9f1f6fdd635797efcd76d57e49efcaf2049b94ef27
28,positivos,28,CAP-V2_006-TPL_04,28,TXT-0029,9bd9b3a60cb1483377273eacb76d7770955c449cde921176889e313ccefb298a
29,positivos,29,CAP-V2_006-TPL_05,29,TXT-0030,f27d58be2511021f8a768d5ef01c4c59e490ef53fc4b2242815d92c98e795272
30,positivos,30,CAP-V2_007-TPL_01,30,TXT-0031,7f8c12c6b6b9f23631236e8d578e793464df7022624cd580e5a3ee4793cfddb9
31,positivos,31,CAP-V2_007-TPL_02,31,TXT-0032,670ada1736d755a2274b91e16aaa63a648e64f157e467dd7450b2d27445468a6
32,positivos,32,CAP-V2_007-TPL_03,32,TXT-0033,8306b3d815500bc7ed58e895056c0453f0d8b3098a1c25061f8696c06344f4c1
33,positivos,33,CAP-V2_007-TPL_04,33,TXT-0034,22ab6ebedff8a1cc556fee810147838692678122a15e4c21357465c4f850ae69
34,positivos,34,CAP-V2_007-TPL_05,34,TXT-0035,b3b94c197ed659bf84a376e8d312c443113c7299f8f4d2fcbe2f8610fd2cd35e
35,positivos,35,CAP-V2_008-TPL_01,35,TXT-0036,dc95cbf8badee2b2fea8d2d26e3eeb726a78c4c1c4fb6e2f4c0af6ec52ea0d51
36,positivos,36,CAP-V2_008-TPL_02,36,TXT-0037,f5840d458b0ca5ab2930b9f6e584afd6c78687b7b90d3ca3fb5bd3be2b3875de
37,positivos,37,CAP-V2_008-TPL_03,37,TXT-0038,a30ca2c92b8f9839ab6025265f774a775d2e53c578f37351af4d14d2553b6a6d
38,positivos,38,CAP-V2_008-TPL_04,38,TXT-0039,956a1c94cc1b957782f421d872d8641b05e8e7af0bce8137233fe9910dbfcc09
39,positivos,39,CAP-V2_008-TPL_05,39,TXT-0040,79369f1e36a8a343444a3aec91fccb1a273c377aae07d617d8b3e4f79e90179d
40,positivos,40,CAP-V2_009-TPL_01,40,TXT-0041,bc085670f5620cf71de15c3c5894f3d4750e7dc5142f863dde1ecbcb828ed4c5
41,positivos,41,CAP-V2_009-TPL_02,41,TXT-0042,40262caba91ee254dff15041a8bd1445b83258679646f7ae09c8b0c6a618ee61
42,positivos,42,CAP-V2_009-TPL_03,42,TXT-0043,5d29897e6301ec6831f9964bc95f3e2a3d9bed83242ebc2fb6aecdd1dae01694
43,positivos,43,CAP-V2_009-TPL_04,43,TXT-0044,6b9c1180fea1d5c8a7e912eb601ec1bf223c4a7f89fb6cdc8adce12ce4f69de9
44,positivos,44,CAP-V2_009-TPL_05,44,TXT-0045,5f2ce9b1872e339e4645e623af243a72d06aa68f3917799dbcf741d85281c639
45,positivos,45,CAP-V2_010-TPL_01,45,TXT-0046,551534df8b5a7aa8be5b5e88d1d0a96becce2e37dfe1226c0daafcbc13474875
46,positivos,46,CAP-V2_010-TPL_02,46,TXT-0047,171d31929ada5dada84b8700b2ff921134806956c18d7b1ff7dc06ab4e33ba6f
47,positivos,47,CAP-V2_010-TPL_03,47,TXT-0048,781e7e095f5a129d5ab027dfd284ade8f2905b85cb627e93f8a64d05e8ffe71a
48,positivos,48,CAP-V2_010-TPL_04,48,TXT-0049,c3679611762258ee40769958d0f0c02cdb076800affbb8ecf934f2f6bfc07504
49,positivos,49,CAP-V2_010-TPL_05,49,TXT-0050,e720a47b719716d7318b1a3d96e1ee66534c5fffa64ae497d8a8e1196f946444
50,positivos,50,CAP-V2_011-TPL_01,50,TXT-0051,29338237967537da3689364f3169596aedc00c3a8a184a85595cee1119f65c68
51,positivos,51,CAP-V2_011-TPL_02,51,TXT-0052,021b04035d0cf6d8a81ea4483aed2f6b0775bd900758f342d57595d5efc9c5cd
52,positivos,52,CAP-V2_011-TPL_03,52,TXT-0053,4543d0a3143f2854af6a5129ca57ac6a505751bd58235fa92e3876c7e9140f66
53,positivos,53,CAP-V2_011-TPL_04,53,TXT-0054,5021844d380f1dc037f5a89d4e7cb4cda623e5e145639cd3ea82f907dd89c14b
54,positivos,54,CAP-V2_011-TPL_05,54,TXT-0055,c251d45eb6b9e7b5200f7f94992797865bf0d9d375be603e96cfe11b76087716
55,positivos,55,CAP-V2_012-TPL_01,55,TXT-0056,572278c0c78e7ff7c02f9e58f84e366a259b51561ff49614835ae3746042fb67
56,positivos,56,CAP-V2_012-TPL_02,56,TXT-0057,b2f6846ae5ab0c03fa360f75953617e1d7a56418a371f076610b2e81c52d783c
57,positivos,57,CAP-V2_012-TPL_03,57,TXT-0058,35457d267bf48b35c38af68587f18c1014379440126736c84290cc44e5fe58d8
58,positivos,58,CAP-V2_012-TPL_04,58,TXT-0059,4361355b5a9305b6c41e335dc9abe5e9c12289225653eda6060915eb4672f4ee
59,positivos,59,CAP-V2_012-TPL_05,59,TXT-0060,1eb95e25ae8e6be292c8c1b2dbefb36d854935a4e1e5ca86fb33bf195937cd90
60,positivos,60,CAP-V2_013-TPL_01,60,TXT-0061,e6be548cdc2a938ccbdc9000d0b0cc2e388a073cc31df760a93448d8219ff40a
61,positivos,61,CAP-V2_013-TPL_02,61,TXT-0062,21b26f527f05624259a0e281b78f8eca66800800683984d7b592ffe1d288710e
62,positivos,62,CAP-V2_013-TPL_03,62,TXT-0063,48a0dee7ba1ec00a861274a62a2d1d50442429bd08b19ed0a56fdea7ba516665
63,positivos,63,CAP-V2_013-TPL_04,63,TXT-0064,22d05b8040179a87f19ed81ecd34ccfcfe2cc5319ae3e0c38ecb8fb230816754
64,positivos,64,CAP-V2_013-TPL_05,64,TXT-0065,b3aeaf4ca5cd487a26edb09a531e9169faa4e9d7362dc1177da9ea4b515f2efd
65,positivos,65,CAP-V2_014-TPL_01,65,TXT-0066,8f7cf49c5be2ccbbbaaaaccb459d14850ee61d273267d750007b31558b81c913
66,positivos,66,CAP-V2_014-TPL_02,66,TXT-0067,26dbebd3c377eb5630177d7a7575ad34e5ae971ccbd9f0aefd73a74cd6b3a942
67,positivos,67,CAP-V2_014-TPL_03,67,TXT-0068,e138bbeada7a7c8deb83a0c2e2b88d37a6af9fc1f549f467ff286e0b9cfc48ec
68,positivos,68,CAP-V2_014-TPL_04,68,TXT-0069,21dceb5316e4c49baa0b169b7784ea34454271aacfbecd2a9a08314dbf1e9770
69,positivos,69,CAP-V2_014-TPL_05,69,TXT-0070,9ffb138d0274d0d0bb1dce040f38f28d790bc192f9a744dacb5767f389c2d62b
70,positivos,70,CAP-V2_015-TPL_01,70,TXT-0071,b2c7408029e43e52b87de220d56014c7726607dfedb300ebc98d2ed48bfdb0c0
71,positivos,71,CAP-V2_015-TPL_02,71,TXT-0072,41fe727202d9d0246b25070abd14137420a79b5ca9974293efa0afa412518d1e
72,positivos,72,CAP-V2_015-TPL_03,72,TXT-0073,df0d7e1dfc96dcde4f468400445f2cea4de2c8c6027ad581f80cb2123bce36e5
73,positivos,73,CAP-V2_015-TPL_04,73,TXT-0074,44807bdb2da30b15718421335531ecaa24d9eb23a3a3d083836588bd2d99f79c
74,positivos,74,CAP-V2_015-TPL_05,74,TXT-0075,850d720e3c102053c81d5d1125f8931d0827d7f18f28ed9eda63b19a35f7b300
75,positivos,75,CAP-V2_016-TPL_01,75,TXT-0076,5596e7f79a991d55c35de03a66475134cd34012da62e520cdaff3096be423c7a
76,positivos,76,CAP-V2_016-TPL_02,76,TXT-0077,91128e993e30fbb02fe185713a65601afd4f374a6154630965c7c83a133791c3
77,positivos,77,CAP-V2_016-TPL_03,77,TXT-0078,90aafa3ff114e275be5a96132c4a8b475dfdaf3d556555afa4d32da5d23c5606
78,positivos,78,CAP-V2_016-TPL_04,78,TXT-0079,98d9929c6a9af97a97ca977b0a301a552a639155becf1c71e5f4e2342d129cf2
79,positivos,79,CAP-V2_016-TPL_05,79,TXT-0080,2d398ede730df9934f5b2d363a9fdf894744f5fc3f4a4c9db29f467b91139114
80,positivos,80,CAP-V2_017-TPL_01,80,TXT-0081,fade7c455a97e491689c79920bfbee3b56214c5209d5f13cca5f8b15a1e32821
81,positivos,81,CAP-V2_017-TPL_02,81,TXT-0082,921817b6b4a1fd17c34bee974540202b135fae75b76f418491ff15c4a1a0a1f7
82,positivos,82,CAP-V2_017-TPL_03,82,TXT-0083,e05b9c5371cc498d0024137d23fdbe5b00effcec2a12b4c112abc5a0bb9b1bbf
83,positivos,83,CAP-V2_017-TPL_04,83,TXT-0084,ee183dc5d040ac9a3448d887a528f7c8c7fa582269e57c83b31048d485a4c6a7
84,positivos,84,CAP-V2_017-TPL_05,84,TXT-0085,818bba03b4b83939247023b4a842df1a8e700d3f00b6339c60f7a66b392258f9
85,positivos,85,CAP-V2_018-TPL_01,85,TXT-0086,099dd9e328c60d9a680d9f6c97bd9f87078d4379ed237d0e895cf2b08d01053e
86,positivos,86,CAP-V2_018-TPL_02,86,TXT-0087,99383aaca12248e494fb4d729245d078ce99a05c92f24b50cec7a6081f1881d7
87,positivos,87,CAP-V2_018-TPL_03,87,TXT-0088,a54c53ce247d35456be2a5d2f85d7fc23a2a7917c52e703ca60d3412985d26af
88,positivos,88,CAP-V2_018-TPL_04,88,TXT-0089,e6cfcb1247d066a4a4444d20d114604333a5a3b7eaa5e842246b5648aaf62930
89,positivos,89,CAP-V2_018-TPL_05,89,TXT-0090,3fd477d4b6d572c00a1e872c021466151958b93a37c110c23619e99271989b92
90,positivos,90,CAP-V2_019-TPL_01,90,TXT-0091,1547af5ac7c093f6d9bed9f051800c9abf2fb827c3a3a562dd934597718b7576
91,positivos,91,CAP-V2_019-TPL_02,91,TXT-0092,f3c0f24e9945e4d284032f64fa70167e787cc6d96596423624019168fa31d94d
92,positivos,92,CAP-V2_019-TPL_03,92,TXT-0093,a6e4fba36799cacae4582af428cb913354b4d008e52f843a9dc65374bddd5d0b
93,positivos,93,CAP-V2_019-TPL_04,93,TXT-0094,edbb11e0f71729ceb1d732f60a3d6fa2c099571fbaf343e5072c3579801fa892
94,positivos,94,CAP-V2_019-TPL_05,94,TXT-0095,eb66e50668b1fe2a3b625b56045b0e26ee567d590314d90b67c32945fdd7a912
95,positivos,95,CAP-V2_020-TPL_01,95,TXT-0096,de421ad819d5b4d630c12c5d47eac05a817f6eafba5d8063c7db55ab69eb5195
