comparison_id,minuend,subtrahend,group_dimension,group_value,group_count,delta_structural_hit_at_1,delta_structural_hit_at_5,delta_structural_fractional_recall_at_5,delta_structural_mrr,delta_structural_ndcg_at_10,delta_best_relevant_margin
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,overall,all,40,0.053571428571,-0.321428571429,0.059693877551,-0.056217759894,0.082859542903,0.004443152382
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,regime,base_pattern,30,-0.000000000000,-0.409523809524,0.030612244898,-0.111516392262,0.054120566441,0.000088288458
grayscale_effect_with_full_caption,grayscale_image_full_caption,original_image_full_caption,regime,heldout_pattern,10,0.214285714286,-0.057142857143,0.146938775510,0.109678137211,0.169076472288,0.017507744155
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,overall,all,40,0.035714285714,-0.332142857143,0.092346938776,-0.057162558705,0.125467876189,0.009721973432
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,regime,base_pattern,30,-0.038095238095,-0.428571428572,0.044897959184,-0.124658450230,0.077631265371,0.001027020031
remove_text_color_with_original_image,original_image_caption_without_color,original_image_full_caption,regime,heldout_pattern,10,0.257142857143,-0.042857142857,0.234693877551,0.145325115872,0.268977708644,0.035806833633
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,overall,all,40,0.132142857143,0.014285714286,0.039795918367,0.079719619216,0.051698918010,0.007714703067
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,regime,base_pattern,30,0.128571428571,0.014285714286,0.019047619048,0.077861677851,0.031096068521,0.005915851536
remove_text_color_with_grayscale_image,grayscale_image_caption_without_color,grayscale_image_full_caption,regime,heldout_pattern,10,0.142857142857,0.014285714286,0.102040816327,0.085293443308,0.113507466478,0.013111257660
remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,overall,all,40,0.185714285714,-0.307142857143,0.099489795919,0.023501859322,0.134558460913,0.012157855449
remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,regime,base_pattern,30,0.128571428571,-0.395238095238,0.049659863946,-0.033654714411,0.085216634962,0.006004139994
remove_visual_and_text_color,grayscale_image_caption_without_color,original_image_full_caption,regime,heldout_pattern,10,0.357142857143,-0.042857142857,0.248979591837,0.194971580519,0.282583938766,0.030619001815
