condition,group_dimension,group_value,query_count,recall_at_1,recall_at_5,mrr,ndcg_at_10,positive_margin
original_image_full_caption,overall,all,280,0.235714285714,0.825000000000,0.462076240384,0.581308470730,-0.019934443650
original_image_full_caption,split,id,150,0.233333333333,0.880000000000,0.478439634440,0.599484894279,-0.016227317651
original_image_full_caption,split,ood_both,20,0.500000000000,0.800000000000,0.602142857143,0.694918337071,-0.012605321407
original_image_full_caption,split,ood_palette,60,0.233333333333,0.933333333333,0.478333333333,0.605904859633,-0.019818898042
original_image_full_caption,split,ood_pattern,50,0.140000000000,0.540000000000,0.337450899977,0.451819586865,-0.034126125276
original_image_full_caption,is_canonical,false,224,0.232142857143,0.816964285714,0.457681397419,0.575400139639,-0.021329485745
original_image_full_caption,is_canonical,true,56,0.250000000000,0.857142857143,0.479655612245,0.604941795097,-0.014354275273
grayscale_image_full_caption,overall,all,280,0.085714285714,0.314285714286,0.207080297046,0.251120969549,-0.029347227727
grayscale_image_full_caption,split,id,150,0.080000000000,0.293333333333,0.203253706560,0.249095555392,-0.026693388124
grayscale_image_full_caption,split,ood_both,20,0.200000000000,0.450000000000,0.321833247670,0.358496422530,-0.023454508185
grayscale_image_full_caption,split,ood_palette,60,0.116666666667,0.366666666667,0.238034965430,0.273637467439,-0.027538384249
grayscale_image_full_caption,split,ood_pattern,50,0.020000000000,0.260000000000,0.135513286191,0.187227233362,-0.041836446524
grayscale_image_full_caption,is_canonical,false,224,0.080357142857,0.290178571429,0.196110977746,0.235071032076,-0.031625693464
grayscale_image_full_caption,is_canonical,true,56,0.107142857143,0.410714285714,0.250957574244,0.315320719442,-0.020233364776
