condition,group_dimension,group_value,query_count,recall_at_1,recall_at_5,mrr,ndcg_at_10,positive_margin
openclip,overall,all,280,0.235714285714,0.825000000000,0.462076240384,0.581308470730,-0.019934443650
openclip,split,id,150,0.233333333333,0.880000000000,0.478439634440,0.599484894279,-0.016227317651
openclip,split,ood_both,20,0.500000000000,0.800000000000,0.602142857143,0.694918337071,-0.012605321407
openclip,split,ood_palette,60,0.233333333333,0.933333333333,0.478333333333,0.605904859633,-0.019818898042
openclip,split,ood_pattern,50,0.140000000000,0.540000000000,0.337450899977,0.451819586865,-0.034126125276
openclip,is_canonical,false,224,0.232142857143,0.816964285714,0.457681397419,0.575400139639,-0.021329485745
openclip,is_canonical,true,56,0.250000000000,0.857142857143,0.479655612245,0.604941795097,-0.014354275273
random,overall,all,280,0.014285714286,0.089285714286,0.081401334995,0.081923479212,-0.481663686403
random,split,id,150,0.013333333333,0.086666666667,0.079130666001,0.083320263105,-0.481774285919
random,split,ood_both,20,0.000000000000,0.000000000000,0.035292160298,0.000000000000,-0.570822707403
random,split,ood_palette,60,0.033333333333,0.166666666667,0.114781819263,0.113340224133,-0.460807578641
random,split,ood_pattern,50,0.000000000000,0.040000000000,0.066600430736,0.072802425309,-0.470695608772
random,is_canonical,false,224,0.017857142857,0.111607142857,0.090612935810,0.092595598075,-0.465659825547
random,is_canonical,true,56,0.000000000000,0.000000000000,0.044554931735,0.039235003760,-0.545679129826
color_histogram,overall,all,280,0.125000000000,0.625000000000,0.339732142857,0.494183064513,-0.270888192313
color_histogram,split,id,150,0.166666666667,0.833333333333,0.404365079365,0.546965408702,-0.205981190999
color_histogram,split,ood_both,20,0.000000000000,0.000000000000,0.145833333333,0.335836031947,-0.464597702026
color_histogram,split,ood_palette,60,0.166666666667,0.833333333333,0.404365079365,0.546965408702,-0.201285362244
color_histogram,split,ood_pattern,50,0.000000000000,0.000000000000,0.145833333333,0.335836031947,-0.471648788452
color_histogram,is_canonical,false,224,0.125000000000,0.625000000000,0.339732142857,0.494183064513,-0.270888192313
color_histogram,is_canonical,true,56,0.125000000000,0.625000000000,0.339732142857,0.494183064513,-0.270888192313
