query_index,caption_id,image_id,semantic_id,split,pattern_id,palette_id,motif,orientation,composition,symmetry,ambiguity_level,template_id,is_canonical,text_row_index,relevant_image_row_index,relevant_rank,top1_image_id,top1_score,relevant_score,positive_margin,recall_at_1,recall_at_5,mrr,ndcg_at_10
0,CAP-V2_001-TPL_01,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_01,true,0,0,3,V2_011,0.351894617081,0.337622284889,-0.014272332191,0.000000000000,1.000000000000,0.333333333333,0.500000000000
1,CAP-V2_001-TPL_02,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_02,false,1,0,3,V2_011,0.332195222378,0.310213267803,-0.021981954575,0.000000000000,1.000000000000,0.333333333333,0.500000000000
2,CAP-V2_001-TPL_03,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_03,false,2,0,3,V2_026,0.330970823765,0.309555828571,-0.021414995193,0.000000000000,1.000000000000,0.333333333333,0.500000000000
3,CAP-V2_001-TPL_04,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_04,false,3,0,2,V2_011,0.316889196634,0.306454926729,-0.010434269905,0.000000000000,1.000000000000,0.500000000000,0.630929753571
4,CAP-V2_001-TPL_05,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_05,false,4,0,1,V2_001,0.340648949146,0.340648949146,0.006746411324,1.000000000000,1.000000000000,1.000000000000,1.000000000000
5,CAP-V2_002-TPL_01,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_01,true,5,1,1,V2_002,0.365009844303,0.365009844303,0.002913296223,1.000000000000,1.000000000000,1.000000000000,1.000000000000
6,CAP-V2_002-TPL_02,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_02,false,6,1,2,V2_027,0.353697896004,0.342582523823,-0.011115372181,0.000000000000,1.000000000000,0.500000000000,0.630929753571
7,CAP-V2_002-TPL_03,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_03,false,7,1,3,V2_027,0.357337445021,0.337379783392,-0.019957661629,0.000000000000,1.000000000000,0.333333333333,0.500000000000
8,CAP-V2_002-TPL_04,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_04,false,8,1,1,V2_002,0.321057319641,0.321057319641,0.001427233219,1.000000000000,1.000000000000,1.000000000000,1.000000000000
9,CAP-V2_002-TPL_05,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_05,false,9,1,1,V2_002,0.359454244375,0.359454244375,0.015107482672,1.000000000000,1.000000000000,1.000000000000,1.000000000000
10,CAP-V2_003-TPL_01,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_01,true,10,2,2,V2_008,0.348789632320,0.335728734732,-0.013060897589,0.000000000000,1.000000000000,0.500000000000,0.630929753571
11,CAP-V2_003-TPL_02,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_02,false,11,2,2,V2_028,0.325777053833,0.314760744572,-0.011016309261,0.000000000000,1.000000000000,0.500000000000,0.630929753571
12,CAP-V2_003-TPL_03,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_03,false,12,2,3,V2_028,0.326543450356,0.322335422039,-0.004208028316,0.000000000000,1.000000000000,0.333333333333,0.500000000000
13,CAP-V2_003-TPL_04,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,ocre_marron_negro,bandas geométricas,horizontal,bandas,repetitiva,bajo,TPL_04,false,13,2,1,V2_003,0.325080335140,0.325080335140,0.018952369690,1.000000000000,1.000000000000,1.000000000000,1.000000000000
