query_index,query_id,image_id,semantic_id,split,pattern_id,palette_id,ambiguity_level,template_id,omitted_attribute,image_row_index,positive_candidate_id,positive_position_source,positive_rank,top1_candidate_id,top1_candidate_role,top1_score,positive_score,positive_margin,recall_at_1,recall_at_5,mrr,ndcg_at_10,hard_negative_accuracy
0,HNQ-V2_001,V2_001,SEM-726372BFFF43534D,id,bands_horizontal,rojo_negro_crema,bajo,TPL_01,palette_id,0,HNC-V2_001-P02,2,3,HNC-V2_001-P01,hard_negative,0.342061758041,0.337622284889,-0.004439473152,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
1,HNQ-V2_002,V2_002,SEM-5B84448A62787787,id,bands_horizontal,azul_crema_marron,bajo,TPL_01,motif,1,HNC-V2_002-P04,4,1,HNC-V2_002-P04,positive,0.365009844303,0.365009844303,0.000450104475,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
2,HNQ-V2_003,V2_003,SEM-7418F4CCBDB8F621,id,bands_horizontal,ocre_marron_negro,bajo,TPL_01,orientation,2,HNC-V2_003-P01,1,2,HNC-V2_003-P05,hard_negative,0.341003328562,0.335728734732,-0.005274593830,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
3,HNQ-V2_004,V2_004,SEM-7CE10D3F8F559237,id,bands_horizontal,blanco_negro_gris,bajo,TPL_01,composition,3,HNC-V2_004-P03,3,3,HNC-V2_004-P04,hard_negative,0.318920314312,0.313583195210,-0.005337119102,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
4,HNQ-V2_005,V2_005,SEM-CA5D6EBFCD7B84E3,id,bands_horizontal,multicolor_tierra,bajo,TPL_01,symmetry,4,HNC-V2_005-P05,5,2,HNC-V2_005-P02,hard_negative,0.364490240812,0.353165864944,-0.011324375868,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
5,HNQ-V2_006,V2_006,SEM-4699702E8A447735,id,bands_vertical,rojo_negro_crema,bajo,TPL_01,palette_id,5,HNC-V2_006-P03,3,1,HNC-V2_006-P03,positive,0.351220697165,0.351220697165,0.006714344025,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
6,HNQ-V2_007,V2_007,SEM-657EAE79EA891854,id,bands_vertical,azul_crema_marron,bajo,TPL_01,motif,6,HNC-V2_007-P05,5,1,HNC-V2_007-P05,positive,0.357411265373,0.357411265373,0.003810971975,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
7,HNQ-V2_008,V2_008,SEM-F49183E2AB7334C9,id,bands_vertical,ocre_marron_negro,bajo,TPL_01,orientation,7,HNC-V2_008-P02,2,2,HNC-V2_008-P04,hard_negative,0.357435762882,0.356800109148,-0.000635653734,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
8,HNQ-V2_009,V2_009,SEM-0EFA93DD8D5CE9AD,id,bands_vertical,blanco_negro_gris,bajo,TPL_01,composition,8,HNC-V2_009-P04,4,2,HNC-V2_009-P02,hard_negative,0.328375875950,0.327648013830,-0.000727862120,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
9,HNQ-V2_010,V2_010,SEM-7E4D8819AF0D376B,id,bands_vertical,multicolor_tierra,bajo,TPL_01,symmetry,9,HNC-V2_010-P01,1,2,HNC-V2_010-P02,hard_negative,0.364347040653,0.356067389250,-0.008279651403,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
10,HNQ-V2_011,V2_011,SEM-E6BF74678BDAC828,id,diamonds_central,rojo_negro_crema,medio,TPL_01,palette_id,10,HNC-V2_011-P04,4,3,HNC-V2_011-P03,hard_negative,0.357849538326,0.350548684597,-0.007300853729,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
11,HNQ-V2_012,V2_012,SEM-F5F0E5F56F3B9CDD,id,diamonds_central,azul_crema_marron,medio,TPL_01,motif,11,HNC-V2_012-P01,1,1,HNC-V2_012-P01,positive,0.356498926878,0.356498926878,0.000191569328,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
12,HNQ-V2_013,V2_013,SEM-6C847486A44390D1,id,diamonds_central,ocre_marron_negro,medio,TPL_01,orientation,12,HNC-V2_013-P03,3,2,HNC-V2_013-P05,hard_negative,0.326865971088,0.324513047934,-0.002352923155,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
13,HNQ-V2_014,V2_014,SEM-B0502F5A4E58AF67,id,diamonds_central,blanco_negro_gris,medio,TPL_01,composition,13,HNC-V2_014-P05,5,1,HNC-V2_014-P05,positive,0.332291722298,0.332291722298,0.001125931740,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
14,HNQ-V2_015,V2_015,SEM-48FFBCDFBB1178FE,id,diamonds_central,multicolor_tierra,medio,TPL_01,symmetry,14,HNC-V2_015-P02,2,1,HNC-V2_015-P02,positive,0.372624814510,0.372624814510,0.002020418644,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
15,HNQ-V2_016,V2_016,SEM-1F7D0D80E51AE939,id,grecas_modular,rojo_negro_crema,medio,TPL_01,palette_id,15,HNC-V2_016-P05,5,1,HNC-V2_016-P05,positive,0.324525892735,0.324525892735,0.005321055651,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
16,HNQ-V2_017,V2_017,SEM-B4047E6372E8425A,id,grecas_modular,azul_crema_marron,medio,TPL_01,motif,16,HNC-V2_017-P02,2,2,HNC-V2_017-P05,hard_negative,0.293549120426,0.290414303541,-0.003134816885,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
17,HNQ-V2_018,V2_018,SEM-8DD56A09C7883053,id,grecas_modular,ocre_marron_negro,medio,TPL_01,orientation,17,HNC-V2_018-P04,4,1,HNC-V2_018-P04,positive,0.293968379498,0.293968379498,0.000715941191,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
18,HNQ-V2_019,V2_019,SEM-92B4FA22CEDB29E6,id,grecas_modular,blanco_negro_gris,medio,TPL_01,composition,18,HNC-V2_019-P01,1,1,HNC-V2_019-P01,positive,0.291442334652,0.291442334652,0.002502739429,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
19,HNQ-V2_020,V2_020,SEM-A02450BA65AD4237,id,grecas_modular,multicolor_tierra,medio,TPL_01,symmetry,19,HNC-V2_020-P03,3,1,HNC-V2_020-P03,positive,0.329576432705,0.329576432705,0.004442632198,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
20,HNQ-V2_021,V2_021,SEM-C35EEC4AAFF32C4A,id,grid_reticular,rojo_negro_crema,bajo,TPL_01,palette_id,20,HNC-V2_021-P01,1,3,HNC-V2_021-P02,hard_negative,0.345542043447,0.323116242886,-0.022425800562,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
21,HNQ-V2_022,V2_022,SEM-14694FF153156266,id,grid_reticular,azul_crema_marron,bajo,TPL_01,motif,21,HNC-V2_022-P03,3,3,HNC-V2_022-P01,hard_negative,0.329700708389,0.321680843830,-0.008019864559,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
22,HNQ-V2_023,V2_023,SEM-E2B97A08DEBB8084,id,grid_reticular,ocre_marron_negro,bajo,TPL_01,orientation,22,HNC-V2_023-P05,5,2,HNC-V2_023-P04,hard_negative,0.313709259033,0.293048202991,-0.020661056042,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
23,HNQ-V2_024,V2_024,SEM-E18D189C6A8F47C1,id,grid_reticular,blanco_negro_gris,bajo,TPL_01,composition,23,HNC-V2_024-P02,2,3,HNC-V2_024-P04,hard_negative,0.323697149754,0.305488646030,-0.018208503723,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
24,HNQ-V2_025,V2_025,SEM-07F558960B386287,id,grid_reticular,multicolor_tierra,bajo,TPL_01,symmetry,24,HNC-V2_025-P04,4,3,HNC-V2_025-P02,hard_negative,0.327923566103,0.306915730238,-0.021007835865,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
25,HNQ-V2_026,V2_026,SEM-13F83CA2D0998B44,id,mixed_asymmetric,rojo_negro_crema,alto,TPL_01,palette_id,25,HNC-V2_026-P02,2,2,HNC-V2_026-P03,hard_negative,0.318497508764,0.313869118690,-0.004628390074,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
26,HNQ-V2_027,V2_027,SEM-A81DDA56894526D2,id,mixed_asymmetric,azul_crema_marron,alto,TPL_01,motif,26,HNC-V2_027-P04,4,2,HNC-V2_027-P01,hard_negative,0.341005116701,0.336844861507,-0.004160255194,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
27,HNQ-V2_028,V2_028,SEM-395EB585FE6F4A0F,id,mixed_asymmetric,ocre_marron_negro,alto,TPL_01,orientation,27,HNC-V2_028-P01,1,2,HNC-V2_028-P05,hard_negative,0.304106473923,0.302243560553,-0.001862913370,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
28,HNQ-V2_029,V2_029,SEM-4F620F242D17BFDE,id,mixed_asymmetric,blanco_negro_gris,alto,TPL_01,composition,28,HNC-V2_029-P03,3,1,HNC-V2_029-P03,positive,0.298220574856,0.298220574856,0.013265848160,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
29,HNQ-V2_030,V2_030,SEM-395AFC2FCA575E5C,id,mixed_asymmetric,multicolor_tierra,alto,TPL_01,symmetry,29,HNC-V2_030-P05,5,2,HNC-V2_030-P03,hard_negative,0.335836708546,0.331316292286,-0.004520416260,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
30,HNQ-V2_031,V2_031,SEM-5385CECF3CA2ED7C,ood_palette,bands_horizontal,verde_ocre_crema,bajo,TPL_01,palette_id,30,HNC-V2_031-P03,3,3,HNC-V2_031-P04,hard_negative,0.358331203461,0.352500736713,-0.005830466747,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
31,HNQ-V2_032,V2_032,SEM-EBDDE1D48F194248,ood_palette,bands_horizontal,morado_gris_rosa,bajo,TPL_01,motif,31,HNC-V2_032-P05,5,1,HNC-V2_032-P05,positive,0.333097934723,0.333097934723,0.000155627728,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
32,HNQ-V2_033,V2_033,SEM-5B7B82044BDAE8EB,ood_palette,bands_vertical,verde_ocre_crema,bajo,TPL_01,orientation,32,HNC-V2_033-P02,2,2,HNC-V2_033-P03,hard_negative,0.347088754177,0.347010642290,-0.000078111887,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
33,HNQ-V2_034,V2_034,SEM-E53EDC29A9BA52BC,ood_palette,bands_vertical,morado_gris_rosa,bajo,TPL_01,composition,33,HNC-V2_034-P04,4,2,HNC-V2_034-P01,hard_negative,0.354210197926,0.350516974926,-0.003693223000,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
34,HNQ-V2_035,V2_035,SEM-FFE7DFAAFAF2AC61,ood_palette,diamonds_central,verde_ocre_crema,medio,TPL_01,symmetry,34,HNC-V2_035-P01,1,1,HNC-V2_035-P01,positive,0.351087719202,0.351087719202,0.001953154802,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
35,HNQ-V2_036,V2_036,SEM-A391BDC002181DD1,ood_palette,diamonds_central,morado_gris_rosa,medio,TPL_01,palette_id,35,HNC-V2_036-P04,4,2,HNC-V2_036-P02,hard_negative,0.358573108912,0.351180762053,-0.007392346859,0.000000000000,1.000000000000,0.500000000000,0.630929753571,0.000000000000
36,HNQ-V2_037,V2_037,SEM-5300F3F8950CB672,ood_palette,grecas_modular,verde_ocre_crema,medio,TPL_01,motif,36,HNC-V2_037-P01,1,1,HNC-V2_037-P01,positive,0.320379942656,0.320379942656,0.000891506672,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
37,HNQ-V2_038,V2_038,SEM-2D499E7E496213F7,ood_palette,grecas_modular,morado_gris_rosa,medio,TPL_01,orientation,37,HNC-V2_038-P03,3,1,HNC-V2_038-P03,positive,0.315116167068,0.315116167068,0.001939356327,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1.000000000000
38,HNQ-V2_039,V2_039,SEM-99B04CC5A7706E4B,ood_palette,grid_reticular,verde_ocre_crema,bajo,TPL_01,composition,38,HNC-V2_039-P05,5,3,HNC-V2_039-P04,hard_negative,0.331112861633,0.307702660561,-0.023410201073,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
39,HNQ-V2_040,V2_040,SEM-55B6A0B004427F80,ood_palette,grid_reticular,morado_gris_rosa,bajo,TPL_01,symmetry,39,HNC-V2_040-P02,2,3,HNC-V2_040-P04,hard_negative,0.323462605476,0.310455918312,-0.013006687164,0.000000000000,1.000000000000,0.333333333333,0.500000000000,0.000000000000
