comparison_row_index,comparability_family,experiment_id,experiment_name,source_section,comparison_id,minuend,subtrahend,statistic_name,statistic_value,sample_count,sample_unit,source_artifact_path
0,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_random,openclip,random,delta_recall_at_1,0.221428571429,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
1,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_random,openclip,random,delta_mrr,0.380674905389,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
2,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_random,openclip,random,delta_ndcg_at_10,0.499384991519,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
3,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_random,openclip,random,delta_positive_margin,0.461729242753,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
4,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram_minus_random,color_histogram,random,delta_recall_at_1,0.110714285714,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
5,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram_minus_random,color_histogram,random,delta_mrr,0.258330807862,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
6,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram_minus_random,color_histogram,random,delta_ndcg_at_10,0.412259585302,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
7,global_exact_retrieval,E3,baseline_comparison,overall_metrics,color_histogram_minus_random,color_histogram,random,delta_positive_margin,0.210775494090,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
8,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_color_histogram,openclip,color_histogram,delta_recall_at_1,0.110714285714,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
9,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_color_histogram,openclip,color_histogram,delta_mrr,0.122344097527,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
10,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_color_histogram,openclip,color_histogram,delta_ndcg_at_10,0.087125406217,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
11,global_exact_retrieval,E3,baseline_comparison,overall_metrics,openclip_minus_color_histogram,openclip,color_histogram,delta_positive_margin,0.250953748663,280,caption_query,results/v2/evaluacion/baselines_v2/comparacion_baselines_v2.csv
12,hard_negative_forced_choice,E2,hard_negative_forced_choice,overall_metrics,positive_vs_hard_negatives,positive_candidate,hard_negative_candidate,mean_paired_difference,0.025734035431,224,positive_negative_pair,results/v2/evaluacion/hard_negatives_openclip_v2/resumen_hard_negatives_openclip_v2.json
